Title,Features.Max Players,Metadata.Genres,Metadata.Publishers,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Year,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Rushed
The Legend of Heroes: A Tear of Vermillion,1,role-playing (rpG),NA,68,0.08,17.95,Sony PSP,T,2005,31.28333333,38.76666667,29.83333333,26.76666667,38.5,41.75,38.5,35.25,31.43333333,38.33333333,27.88333333,26.33333333,26.26666667,27.73333333,25,24.81666667
PQ: Practical Intelligence Quotient,1,strategy,NA,69,0.08,14.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lost in Blue,1,role-playing (rpG),Konami,69,0.07,24.95,Nintendo DS,T,2005,24.15,26.81666667,25,22.03333333,22.25,23.61666667,22.25,20.86666667,25.43333333,27.16666667,25.11666667,23.68333333,0,0,0,0
Ghost in the Shell: Stand Alone Complex,1,action,Sony,61,0.07,14.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dig Dug: Digging Strike,1,action,Namco,65,0.06,16.95,Nintendo DS,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mega Man Battle Network 5: Double Team DS,1,action/role-playing (rpG),Capcom,68,0.06,17.95,Nintendo DS,E,2005,36.23333333,48.03333333,35,28,48.15,52.75,42,43.53333333,35.4,39.85,34,32.35,29.91666667,34.85,27.48333333,24.55
Nanostray,1,action,THQ,71,0.06,17.95,Nintendo DS,E,2005,1.433333333,1.733333333,1.2,1.233333333,0,0,0,0,0,0,0,0,1.433333333,1.733333333,1.2,1.233333333
Sega Casino,1,simulation,Sega,61,0.06,17.95,Nintendo DS,M,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,1,action/adventure,Konami,58,0.06,17.95,Nintendo DS,T,2005,4.5,4.5,4.5,4.5,0,0,0,0,0,0,0,0,4.5,4.5,4.5,4.5
Pac-Man World 3,1,action,EA,61,0.06,24.95,Sony PSP,E,2005,8,8,8,8,0,0,0,0,0,0,0,0,8,8,8,8
Tokobot,1,strategy,NA,72,0.06,17.95,Sony PSP,T,2005,9.333333333,10.5,8.683333333,8.5,0,0,0,0,12,12,12,12,8.45,8.7,8.366666667,8.2
Fullmetal Alchemist: Dual Sympathy,1,action,NA,58,0.05,14.95,Nintendo DS,M,2005,14,14.5,14,13.5,0,0,0,0,0,0,0,0,14,14.5,14,13.5
Exit,1,action,Ubisoft,77,0.05,9.95,Sony PSP,E,2005,6,6,6,6,0,0,0,0,0,0,0,0,6,6,6,6
Bubble Bobble Revolution,1,action,NA,38,0.04,17.95,Nintendo DS,M,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Rub Rabbits!,2,action/adventure,Sega,68,0.02,17.95,Nintendo DS,M,2005,3.166666667,3.866666667,2.333333333,2.45,0,0,0,0,3.666666667,4.333333333,3.666666667,3,2.166666667,2.166666667,2.166666667,2.166666667
Electroplankton,1,simulation,Nintendo,71,0.01,29.95,Nintendo DS,T,2005,0.433333333,0.55,0.5,0.266666667,0.5,0.5,0.5,0.5,0,0,0,0,0.416666667,0.55,0.5,0.266666667
LifeSigns: Surgical Unit,1,simulation/strategy,NA,61,0.01,22.95,Nintendo DS,T,2005,30.51666667,30.51666667,30.51666667,30.51666667,30.51666667,30.51666667,30.51666667,30.51666667,0,0,0,0,0,0,0,0
Space Invaders Revolution,1,action,NA,49,0.01,13.95,Nintendo DS,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wii Play,2,action/sports,Nintendo,58,14.66,14.95,Nintendo Wii,T,2006,5.816666667,8.45,4,3.316666667,0,0,0,0,10.46666667,11.46666667,11.41666667,9.466666667,4.083333333,5.016666667,4,2.883333333
New Super Mario Bros.,1,action,Nintendo,89,10.03,27.95,Nintendo DS,T,2006,10.23333333,21.65,9,6.05,17.06666667,24.98333333,15.5,10.68333333,10.93333333,16.23333333,10,7.65,7.2,14.15,7,4.8
Pokmon Diamond,1,role-playing (rpG),Nintendo,85,6.77,27.95,Nintendo DS,E,2006,101.0666667,386.7833333,58,44.15,265.2,468.3166667,220,163.5333333,107.5666667,352.3166667,80,58.53333333,42.63333333,77.13333333,41.91666667,25.51666667
Pokmon Pearl,1,role-playing (rpG),Nintendo,85,6.77,26.95,Nintendo DS,E,2006,101.0666667,386.7833333,58,44.15,265.2,468.3166667,220,163.5333333,107.5666667,352.3166667,80,58.53333333,42.63333333,77.13333333,41.91666667,25.51666667
Gears of War,2,action,Microsoft,94,3.7,19.95,X360,M,2006,10.83333333,105.0666667,9.433333333,7.066666667,29,111,15,14.5,12.15,21.78333333,11,8.783333333,9.183333333,12.88333333,9,6.533333333
The Legend of Zelda: Twilight Princess,1,action/role-playing (rpG),Nintendo,95,3.33,39.95,Nintendo Wii,M,2006,45.6,75.23333333,43,32,55.3,77.45,54.53333333,38.95,47.6,76.55,46.23333333,33.45,37.26666667,58.95,37,28.41666667
Cooking Mama,1,simulation,NA,67,2.9,17.95,Nintendo DS,M,2006,8.633333333,10.9,7,6.783333333,0,0,0,0,0,0,0,0,8.633333333,10.9,7,6.783333333
Marvel Ultimate Alliance,4,action/role-playing (rpG),Activision,82,2.42,14.95,X360,T,2006,15.25,27.58333333,14,10.3,25.38333333,30.05,24.81666667,20.73333333,17.63333333,28.93333333,17,12.85,12.86666667,20.63333333,12.36666667,9.3
Daxter,1,action,Sony,85,2.38,14.95,Sony PSP,T,2006,9.066666667,13.98333333,8,6.266666667,14.28333333,16.91666667,14.5,12.21666667,8.516666667,10.71666667,8.35,7.216666667,7.35,8.683333333,7.566666667,5.716666667
The Elder Scrolls IV: Oblivion,1,action/role-playing (rpG),2K,94,2.12,19.95,X360,E,2006,101.0833333,310.2666667,80,47.51666667,195.0333333,335.0333333,185,116,96.9,310.9666667,86.95,52.75,26.83333333,99.2,24,14.95
Madden NFL 07,2,sports,EA,80,1.77,4.95,X360,E,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto: Vice City Stories,1,action/racing  ,Rockstar,86,1.72,17.95,Sony PSP,E,2006,21.03333333,39.56666667,17.23333333,14.06666667,45.61666667,52.96666667,46.25,37.96666667,25.71666667,32.66666667,25,20.03333333,16.65,27.83333333,16.3,12.73333333
Resistance: Fall of Man,4,action,Sony,86,1.61,19.95,PlayStation 3,E,2006,12.2,18.71666667,12,9.05,18.58333333,21.68333333,17.5,16.01666667,13.38333333,16.33333333,13,11.46666667,11.75,14.93333333,12,8.933333333
MotorStorm,1,action/racing/sports,Sony,82,1.58,16.95,PlayStation 3,T,2006,16.9,22.96666667,15,12.96666667,16.88333333,18.96666667,15,14.55,22.25,26.05,22,18.55,13.85,15.2,15,12.2
Call of Duty 3,2,action,Activision,82,1.51,16.95,X360,T,2006,8.816666667,12.81666667,8.45,6.816666667,9.8,12.2,10,7.733333333,11.58333333,14.13333333,11,9.633333333,8.3,12.06666667,8,6.566666667
Yoshi's Island DS,1,action,Nintendo,81,1.49,27.95,Nintendo DS,E,2006,9.633333333,18.1,9.583333333,7.066666667,0,0,0,0,13.63333333,19.7,12,9.9,8.516666667,10.48333333,9.166666667,6.683333333
Tom Clancy's Ghost Recon: Advanced Warfighter,4,action,Ubisoft,90,1.46,14.95,X360,E,2006,8.666666667,9.35,8.75,7.883333333,0,0,0,0,0,0,0,0,8.666666667,9.35,8.75,7.883333333
Fight Night Round 3,2,action/sports,EA,86,1.4,14.95,X360,E,2006,11.18333333,13.03333333,11,7.8,10.58333333,12.26666667,10.5,7.533333333,12.5,13.75,12.5,11.25,11.03333333,13,11,10
Pokmon Ranger,1,role-playing (rpG),Nintendo,69,1.36,19.95,Nintendo DS,E,2006,16.55,37.76666667,13.41666667,11.13333333,36.88333333,48.16666667,34.66666667,25.38333333,14.6,17.35,14.83333333,12.25,12.55,16.76666667,12.56666667,9.916666667
Rayman Raving Rabbids,4,action,Ubisoft,76,1.26,17.95,Nintendo Wii,T,2006,6.7,8.216666667,6.183333333,5.133333333,8.1,8.55,8.1,7.65,8.266666667,9.1,8.133333333,6.766666667,5.8,6.95,6,4.866666667
Saints Row,1,action/racing  ,THQ,81,1.23,14.95,X360,T,2006,24.68333333,83.66666667,20,18.13333333,55.61666667,98.35,47.81666667,37.1,23.5,26.46666667,22.36666667,19.46666667,17.88333333,22.21666667,17,15.68333333
Tom Clancy's Rainbow Six: Vegas,2,action,Ubisoft,88,1.19,14.95,X360,E,2006,9.9,19.71666667,9,6.666666667,12,12,12,12,12.95,21.4,12.65,9.4,8.75,17.43333333,9,6.366666667
Dead Rising,1,action,Capcom,85,1.16,16.95,X360,E,2006,19.23333333,58.55,15,10.05,55.56666667,75.13333333,45,43.33333333,21.76666667,42.81666667,19.5,14.56666667,11.08333333,15.4,10.53333333,6.9
Lost Planet: Extreme Condition,1,action,Capcom,79,1.15,12.95,X360,M,2006,8.866666667,14.46666667,9,6.55,12.7,15.6,9.7,9.8,9.516666667,12.73333333,9.4,8.483333333,8.566666667,13.26666667,8.483333333,6.35
Mario Hoops 3 on 3,1,sports,Nintendo,69,1.03,22.95,Nintendo DS,M,2006,4.25,4.616666667,4.25,3.866666667,0,0,0,0,5,5,5,5,3.5,3.5,3.5,3.5
LEGO Star Wars II: The Original Trilogy,1,action,EA,47,1.02,17.95,Nintendo DS,E,2006,17.55,32.13333333,15,10.63333333,27.85,37.61666667,26.61666667,23.61666667,16.81666667,28.45,15,13.95,11.25,16,12,8.3
Super Monkey Ball: Banana Blitz,4,action,Sega,74,1,14.95,Nintendo Wii,T,2006,5.316666667,6.916666667,5.4,4.166666667,0,0,0,0,0,0,0,0,5.316666667,6.916666667,5.4,4.166666667
The Sims 2: Pets,1,simulation,EA,49,0.97,14.95,Nintendo DS,T,2006,27.7,31.55,27.7,23.85,0,0,0,0,27.7,31.55,27.7,23.85,0,0,0,0
Need for Speed: Carbon - Own the City,1,racing  ,EA,73,0.93,16.95,Sony PSP,E,2006,18.03333333,19.18333333,18.03333333,16.86666667,20.35,20.35,20.35,20.35,0,0,0,0,15.71666667,15.71666667,15.71666667,15.71666667
WarioWare: Smooth Moves,6,action/racing/sports,Nintendo,83,0.9,39.95,Nintendo Wii,T,2006,4.466666667,8.35,3,2.333333333,7.783333333,10.41666667,8,5.25,6.266666667,8.95,5,4.816666667,2.766666667,6.316666667,2.5,1.783333333
Final Fantasy III,1,role-playing (rpG),SquareEnix,77,0.86,17.95,Nintendo DS,E,2006,51.06666667,98.15,44,30.96666667,89.7,118.6166667,87.26666667,69.73333333,52.95,87.43333333,48.8,36.43333333,27.71666667,44.05,25.9,20.6
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,1,action,Sony,81,0.86,16.95,Sony PSP,E,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monster 4x4: World Circuit,4,racing  ,Ubisoft,51,0.82,12.95,Nintendo Wii,E,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirby: Squeak Squad,1,action,Nintendo,71,0.82,27.95,Nintendo DS,T,2006,5.633333333,8.75,5,3.283333333,6.6,9.283333333,6.2,3.816666667,5.233333333,6.5,4.816666667,4.233333333,4.216666667,5.883333333,4,3.033333333
Pokmon Battle Revolution,4,action/strategy,Nintendo,53,0.81,39.95,Nintendo Wii,T,2006,20.03333333,41.71666667,15.41666667,11.93333333,65.71666667,65.71666667,65.71666667,65.71666667,23.51666667,28.48333333,24,19.58333333,13.01666667,18.5,13,9.583333333
Medal of Honor: Heroes,1,action,EA,71,0.81,14.95,Sony PSP,E,2006,4.966666667,5.483333333,5,4.383333333,0,0,0,0,5,5,5,5,4.95,5.483333333,5,4.366666667
Tekken: Dark Resurrection,1,action,Namco,88,0.81,17.95,Sony PSP,E,2006,22.65,30.86666667,30.5,14.28333333,35.08333333,35.11666667,35.08333333,35.03333333,30.5,30.75,30.5,30.25,2.366666667,2.55,2.366666667,2.183333333
Need for Speed: Carbon,2,racing  ,EA,77,0.78,16.95,X360,E,2006,13.3,21.21666667,13.6,9.15,22.66666667,25.16666667,20,20.16666667,13.01666667,16.75,14,9.183333333,12.61666667,15.4,13,8.866666667
Mario vs. Donkey Kong 2: March of the Minis,1,action,Nintendo,76,0.77,27.95,Nintendo DS,T,2006,5.016666667,6.683333333,4.75,3.733333333,0,0,0,0,6.75,7.616666667,6.75,5.866666667,3.883333333,4.416666667,4.316666667,3.333333333
Sonic Rivals,1,action/racing  ,Sega,64,0.76,17.95,Sony PSP,T,2006,9.6,14.01666667,6.5,6.75,20,20,20,20,0,0,0,0,6.15,6.533333333,6,5.75
NCAA Football 07,2,sports,EA,79,0.7,4.95,X360,E,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortal Kombat: Unchained,2,action,Midway,70,0.67,17.95,Sony PSP,E,2006,13.55,26.98333333,4.366666667,4.716666667,45,45,45,45,0,0,0,0,3.066666667,4.7,1.75,1.45
Tom Clancy's Splinter Cell: Double Agent,1,action,Ubisoft,85,0.67,17.95,X360,E,2006,12.41666667,35.85,11,8.85,17.36666667,37.16666667,11.33333333,11.21666667,11.93333333,19.25,11,8.733333333,11.61666667,15.65,11,9.65
Tetris DS,1,strategy,Nintendo,84,0.66,17.95,Nintendo DS,M,2006,27.4,33.71666667,27.5,21.85,33.5,35.25,33.5,31.75,34,37.75,37,30.25,16.75,16.93333333,17,16.55
Red Steel,4,action,Ubisoft,63,0.58,14.95,Nintendo Wii,T,2006,8.6,9.966666667,8.25,7.366666667,0,0,0,0,0,0,0,0,8.6,9.966666667,8.25,7.366666667
Metroid Prime: Hunters,1,action,Nintendo,85,0.58,27.95,Nintendo DS,E,2006,9.3,13.76666667,8.733333333,6.85,15.25,16.88333333,15.25,13.61666667,9.05,10.95,8.783333333,7.766666667,8.8,11.85,8.633333333,6.7
NBA 2K7 ,1,sports,2K,84,0.56,4.95,X360,E,2006,8.183333333,8.766666667,8.183333333,7.583333333,0,0,0,0,0,0,0,0,8.183333333,8.766666667,8.183333333,7.583333333
SEGA Genesis Collection,2,action/racing/role-playing (rpG)/strategy,Sega,82,0.55,17.95,Sony PSP,T,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA Live 07,1,sports,EA,64,0.51,7.95,Sony PSP,E,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WWE SmackDown vs. Raw 2007,4,sports,THQ,81,0.45,12.95,X360,E,2006,23.4,45.63333333,9.116666667,11.91666667,57.6,64.51666667,50.48333333,50.66666667,0,0,0,0,8.75,9.433333333,9,8.216666667
Tiger Woods PGA Tour 07,1,sports,EA,80,0.45,9.95,X360,T,2006,10,10,10,10,0,0,0,0,0,0,0,0,10,10,10,10
Viva Pi$?ata,4,simulation/strategy,Microsoft,84,0.44,16.95,X360,E,2006,38.7,52.21666667,39.5,26.55,52.38333333,58.25,50,47.58333333,32.95,41.33333333,32.43333333,27.83333333,18,19.25,19,16.25
SpongeBob Squarepants: Creature from the Krusty Krab,1,action/adventure,THQ,57,0.44,14.95,Nintendo Wii,T,2006,7.083333333,8.983333333,6.833333333,5.783333333,7.75,9.35,7.666666667,6.166666667,8,9,8,7.016666667,5.883333333,6.8,5.333333333,5.25
Tony Hawk's Project 8,2,sports,Activision,68,0.42,17.95,Sony PSP,M,2006,17.16666667,19.53333333,17,15.33333333,0,0,0,0,18.43333333,20.2,18.38333333,16.7,16.43333333,17.73333333,17,15.15
NBA LIVE 07 ,1,sports,EA,59,0.42,4.95,X360,T,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excite Truck,2,racing  ,Nintendo,72,0.4,19.95,Nintendo Wii,M,2006,15.85,19.95,14,10.95,24.33333333,24.83333333,25,23.83333333,12,13,12,11,7,7,7,7
Harvest Moon DS,1,role-playing (rpG)/simulation,NA,67,0.4,17.95,Nintendo DS,T,2006,53.38333333,64.63333333,55.13333333,37.63333333,75,75,75,75,69.08333333,69.08333333,69.08333333,69.08333333,44.06666667,54.8,45.13333333,32.8
Star Fox Command,1,action,Nintendo,76,0.39,14.95,Nintendo DS,T,2006,3.7,5.666666667,3,2.166666667,0,0,0,0,6.6,7.3,6.6,5.9,3.316666667,5.066666667,3,2.066666667
Metal Gear Solid: Portable Ops,1,action/strategy,Konami,87,0.39,17.95,Sony PSP,T,2006,13.35,21.35,12.08333333,9.183333333,30,30,30,30,16.48333333,22.88333333,15.05,12.48333333,11.68333333,17.31666667,11.58333333,8.65
Blazing Angels: Squadrons of WWII,2,action,Ubisoft,66,0.37,16.95,X360,E,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Major League Baseball 2K6,2,sports,2K,66,0.37,4.95,X360,T,2006,7.65,9.9,8,5.4,7.65,9.9,8,5.4,0,0,0,0,0,0,0,0
MLB 06: The Show,2,sports,Sony,83,0.35,9.95,Sony PSP,T,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rune Factory: A Fantasy Harvest Moon,1,role-playing (rpG)/simulation,NA,78,0.34,24.95,Nintendo DS,T,2006,66.13333333,79.48333333,67.08333333,52.3,38,38,38,38,75.51666667,87.23333333,88.66666667,63.78333333,0,0,0,0
Ace Combat X: Skies of Deception,1,action/simulation,Namco,75,0.32,22.95,Sony PSP,E,2006,4.883333333,8.5,4.116666667,3.083333333,12.5,12.5,12.5,12.5,4.516666667,4.95,4.733333333,3.983333333,4.183333333,6.483333333,3.75,2.816666667
Killzone: Liberation,1,action/strategy,Sony,77,0.32,16.95,Sony PSP,M,2006,8.3,11.06666667,8,6.866666667,9.533333333,10.31666667,9.533333333,8.766666667,10.53333333,12.25,10.45,8.866666667,7.583333333,9.866666667,7.9,6.666666667
F.E.A.R.: First Encounter Assault Recon,1,action,NA,85,0.32,17.95,X360,E,2006,9.4,18.6,9,6.6,11.9,17.43333333,11.86666667,8.383333333,10.93333333,19.25,10.06666667,7.983333333,8.583333333,13.25,8.416666667,6.25
NBA 2K7,7,sports,2K,80,0.31,7.95,PlayStation 3,E,2006,8.183333333,8.766666667,8.183333333,7.583333333,0,0,0,0,0,0,0,0,8.183333333,8.766666667,8.183333333,7.583333333
Avatar: The Last Airbender,1,action,THQ,64,0.3,17.95,Nintendo DS,E,2006,4.75,6.433333333,5,2.6,4.066666667,6.016666667,4,2.183333333,0,0,0,0,5.333333333,6.583333333,6,3.5
Castlevania: Portrait of Ruin,1,action,Konami,85,0.3,17.95,Nintendo DS,M,2006,13.13333333,26.01666667,12,8.383333333,23.13333333,31.5,23.9,19.25,12.58333333,18.63333333,12,9.25,11.1,15.75,10.53333333,7.5
Hitman: Blood Money,1,action,Eidos,82,0.29,22.95,X360,E,2006,14.06666667,29.76666667,13,8.266666667,19.33333333,32.55,18.9,13.9,16.08333333,23.7,14.75,10.41666667,11.81666667,16.45,12,7.45
Rockstar Games presents Table Tennis,2,sports,Rockstar,81,0.28,9.95,X360,M,2006,6,6,6,6,0,0,0,0,6,6,6,6,6,6,6,6
Trauma Center: Second Opinion,1,action/simulation,Nintendo,80,0.28,17.95,Nintendo Wii,T,2006,9.216666667,12.55,9,6.7,16,16,16,16,10.08333333,12.03333333,10.08333333,8.133333333,8.683333333,11.63333333,8.5,6.45
Tenchu Z,1,action,Microsoft,56,0.28,14.95,X360,E,2006,34.03333333,48.81666667,21.25,19.81666667,59,66.5,67,51.5,12,12,12,12,20.81666667,21.16666667,20.88333333,20.41666667
Elite Beat Agents,1,action,Nintendo,87,0.27,9.95,Nintendo DS,M,2006,10.26666667,26.18333333,4.5,4.183333333,30.45,38.85,35,20.35,6.4,10.3,4.5,3.55,4.15,6.033333333,4,2.533333333
Street Fighter Alpha 3 MAX,1,action,Capcom,80,0.27,14.95,Sony PSP,M,2006,3,3.5,3,2.5,0,0,0,0,4,4,4,4,2,2,2,2
Blue Dragon,1,role-playing (rpG),Microsoft,79,0.27,14.95,X360,T,2006,59.91666667,88.16666667,51.71666667,42.53333333,99.13333333,110.8,103,88.86666667,59.95,86.73333333,55,45.06666667,44.5,52.9,46.03333333,37.26666667
The Lord of the Rings: The Battle for Middle Ea...,1,strategy,EA,79,0.27,19.95,X360,T,2006,20.43333333,34.25,16.58333333,14.75,27.85,38.2,25,19.46666667,18.88333333,20.33333333,20,17.8,14.71666667,19.3,14.5,12.8
Prey,1,action,2K,79,0.27,14.95,X360,T,2006,8.35,16.8,8,6.266666667,12.83333333,18.93333333,12,9.15,9.316666667,12.06666667,9,7.483333333,7.5,9.866666667,7.95,6.05
Over the Hedge,1,adventure,Activision,71,0.26,16.95,Nintendo DS,E,2006,7.216666667,10.78333333,5.933333333,4.283333333,15,15,15,15,5.933333333,6.166666667,5.933333333,5.7,2,2,2,2
Capcom Classics Collection Reloaded,1,action,Capcom,75,0.26,17.95,Sony PSP,T,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest,1,action,NA,52,0.26,14.95,Sony PSP,T,2006,2.683333333,3.166666667,2.5,2.283333333,3.75,3.75,3.75,3.75,2.833333333,2.833333333,2.833333333,2.833333333,2.083333333,2.116666667,2.083333333,2.033333333
NHL 07 ,1,sports,EA,79,0.26,5.95,X360,T,2006,9,9.5,9,8.5,8,8,8,8,0,0,0,0,10,10,10,10
Monster Hunter Freedom,1,action/strategy,Capcom,71,0.25,12.95,Sony PSP,E,2006,279.7333333,445.2,101.1,120.2,683.1333333,691.5666667,683.1333333,674.7,84.06666667,103.1166667,76,65.01666667,60,60,60,60
Chromehounds,1,action/simulation/strategy,Sega,71,0.25,14.95,X360,T,2006,32.66666667,48.16666667,16,17.16666667,72,72,72,72,16,16,16,16,10,10,10,10
Test Drive Unlimited,1,racing  ,Atari,82,0.25,17.95,X360,T,2006,53.4,101.9666667,38.5,32.96666667,112.6666667,132.1666667,100,93.16666667,55.66666667,96.41666667,50,41.41666667,28.08333333,32.01666667,30,24.51666667
Dragon Ball Z: Budokai Tenkaichi 2,2,action,Atari,72,0.24,14.95,Nintendo Wii,E,2006,17.63333333,30.55,14.6,12.56666667,28.88333333,35.96666667,25,24.71666667,14,17.05,14.2,11.55,11.28333333,12.81666667,10,10.3
Dragon Quest Monsters: Joker,1,role-playing (rpG),SquareEnix,75,0.24,14.95,Nintendo DS,T,2006,37.96666667,62.03333333,37.65,25.03333333,63.63333333,74.95,63.63333333,52.31666667,30.03333333,37.46666667,35.83333333,22.6,34.9,39.55,37.3,30.41666667
NFL Street 3,1,action/sports,EA,68,0.24,14.95,Sony PSP,T,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syphon Filter: Dark Mirror,1,action,Sony,87,0.24,12.95,Sony PSP,M,2006,8.466666667,11.43333333,7.283333333,6.683333333,15,15,15,15,9.25,10.08333333,9.25,8.416666667,6.85,7.333333333,7,6.2
NBA 07,4,sports,Sony,63,0.23,6.95,PlayStation 3,T,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ridge Racer 7,2,racing  ,Namco,78,0.23,19.95,PlayStation 3,E,2006,21.25,33.43333333,12.5,13.43333333,50,50,50,50,15,15,15,15,10,10,10,10
The Outfit,2,action,THQ,70,0.23,14.95,X360,E,2006,7.866666667,7.933333333,7.866666667,7.8,0,0,0,0,7.75,7.75,7.75,7.75,8,8,8,8
Elebits,4,action,Konami,75,0.22,14.95,Nintendo Wii,T,2006,8.016666667,9.25,9,6.3,0,0,0,0,0,0,0,0,8.016666667,9.25,9,6.3
Tony Hawk's Downhill Jam,1,racing/sports,Activision,76,0.22,14.95,Nintendo DS,T,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thrillville,1,simulation/strategy,Atari,72,0.2,14.95,Sony PSP,E,2006,8.233333333,8.233333333,8.233333333,8.233333333,0,0,0,0,8.233333333,8.233333333,8.233333333,8.233333333,0,0,0,0
The Godfather: The Game,1,action,EA,77,0.2,17.95,X360,T,2006,21.15,31.28333333,20,12.45,27.56666667,33.63333333,29,17.41666667,23.76666667,32.7,23.06666667,17.15,12.93333333,15.48333333,15,9.15
Rampage: Total Destruction,4,action,Midway,46,0.19,16.95,Nintendo Wii,E,2006,5,5,5,5,0,0,0,0,0,0,0,0,5,5,5,5
College Hoops 2K7,4,sports,2K,82,0.19,6.95,X360,T,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Far Cry: Instincts - Predator,4,action,Ubisoft,78,0.19,17.95,X360,E,2006,18.76666667,23.41666667,17.91666667,16.33333333,20,20,20,20,21.4,24.1,18,18.71666667,15.73333333,16.63333333,14.98333333,14.85
Full Auto,2,action/racing  ,Sega,70,0.19,16.95,X360,E,2006,5,5,5,5,0,0,0,0,0,0,0,0,5,5,5,5
Age of Empires: The Age of Kings,1,strategy,NA,80,0.19,17.95,Nintendo DS,T,2006,57.85,156.95,50,32.78333333,62.41666667,83.1,70,39.1,75.93333333,164.2333333,61,40.06666667,46.15,73.03333333,46,29.03333333
Brothers in Arms: D-Day,1,action,Ubisoft,65,0.19,6.95,Sony PSP,T,2006,8,8,8,8,0,0,0,0,0,0,0,0,8,8,8,8
Family Guy Video Game!,1,action,2K,51,0.19,19.95,Sony PSP,M,2006,6.1,7.483333333,5.883333333,4.983333333,0,0,0,0,0,0,0,0,6.1,7.483333333,5.883333333,4.983333333
Superman Returns,1,action,EA,51,0.19,7.95,X360,E,2006,18.76666667,22.68333333,22,13.68333333,21.71666667,23.55,22.5,19.48333333,0,0,0,0,7,7,7,7
Over G Fighters,2,simulation,Ubisoft,49,0.18,17.95,X360,E,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Final Fantasy XI Online,1,action/role-playing (rpG),SquareEnix,66,0.18,4.95,X360,E,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mystery Dungeon: Shiren the Wanderer,1,action/role-playing (rpG),Sega,69,0.17,17.95,Nintendo DS,T,2006,33,38.5,33,27.5,44,44,44,44,0,0,0,0,22,22,22,22
Phoenix Wright: Ace Attorney - Justice for All,1,adventure/simulation,Capcom,76,0.17,13.95,Nintendo DS,E,2006,18.83333333,30.76666667,18.3,13.28333333,19.73333333,27.36666667,19.78333333,13.86666667,20.73333333,26.81666667,19.91666667,17.65,17.75,30.28333333,17.5,13.65
Justice League Heroes,1,action,NA,72,0.17,17.95,Sony PSP,M,2006,10.36666667,14.38333333,5,6.333333333,21.1,21.1,21.1,21.1,0,0,0,0,5,5,5,5
Valhalla Knights,1,action/role-playing (rpG),NA,53,0.17,16.95,Sony PSP,T,2006,100,100,100,100,0,0,0,0,100,100,100,100,0,0,0,0
Genji: Days of the Blade,1,action/role-playing (rpG),Sony,55,0.17,14.95,PlayStation 3,T,2006,13.33333333,18.06666667,12,10.83333333,0,0,0,0,0,0,0,0,13.33333333,18.06666667,12,10.83333333
Top Spin 2,4,sports,2K,75,0.16,12.95,X360,T,2006,10,10,10,10,0,0,0,0,0,0,0,0,10,10,10,10
Field Commander,2,strategy,Sony,77,0.16,14.95,Sony PSP,T,2006,13.88333333,14.43333333,13.88333333,13.31666667,0,0,0,0,0,0,0,0,13.88333333,14.43333333,13.88333333,13.31666667
